research_object,variable_type,variable_name,variable_range,property_or_result,mechanism,evidence,missing_evidence,future_hypothesis,feasibility_level,source_paper
AM Ti-6Al-4V,loading_condition,HCF loading,文献中使用的载荷参数,"HCF下的['fatigue life', 'fatigue crack growth resistance']",HCF条件下裂纹萌生与扩展机制,文献研究AM Ti-6Al-4V的HCF行为,缺乏AM Ti-6Al-4V在HCF下的多因素耦合研究,AM Ti-6Al-4V在HCF条件下的寿命预测模型需考虑缺陷-组织耦合效应,B,Fatigue Crack Initiation and Growth Behaviors of Additively Manufactured Ti-6AI-4V Alloy After Hot Isostatic Pressing Post-Process
AM Ti-6Al-4V,temperature_environment,room temperature,room temperature,"room temperature下['fatigue life', 'fatigue crack growth resistance']",room temperature环境影响裂纹萌生与扩展机制,The fatigue lives and fatigue crack growth resistances of most SLM+HIP-processed specimens are much higher than those of traditional wrought material.; The current SLM+HIP-processed Ti-6Al-4V alloy st,缺乏AM Ti-6Al-4V在room temperature下疲劳性能的系统数据,AM Ti-6Al-4V在room temperature下的疲劳机制与室温不同需单独研究,B,Fatigue Crack Initiation and Growth Behaviors of Additively Manufactured Ti-6AI-4V Alloy After Hot Isostatic Pressing Post-Process
AM Ti-6Al-4V,defect,pore defect,文献中报告的孔隙尺寸和分布,"['Fatigue strength', 'Fatigue life']",孔隙缺陷在循环载荷下引发局部应力集中，促进裂纹在孔隙边缘萌生,Surface roughness and geometry effects significantly reduce fatigue performance; Crack initiation occurs from internal surfaces due to defects; The Smith-Watson-Topper parameter is effective for fatig,缺乏孔隙特征(尺寸/位置/形态)与疲劳寿命的定量关系数据,AM Ti-6Al-4V的孔隙特征参量可定量预测疲劳寿命,B,Fatigue Failure from Inner Surfaces of Additive Manufactured Ti-6Al-4V Components
AM Ti-6Al-4V,surface_state,surface roughness,as-built表面粗糙度Ra值,疲劳寿命Nf/疲劳强度,表面粗糙度造成局部应力集中，成为裂纹优先萌生位置,Surface roughness and geometry effects significantly reduce fatigue performance; Crack initiation occurs from internal surfaces due to defects; The Smith-Watson-Topper parameter is effective for fatig,缺乏表面粗糙度特征(峰谷参数/应力集中系数)与疲劳寿命的定量模型,AM Ti-6Al-4V表面粗糙度的临界值下疲劳寿命无明显降低,B,Fatigue Failure from Inner Surfaces of Additive Manufactured Ti-6Al-4V Components
AM Ti-6Al-4V,manufacturing_process,L-PBF (L-PBF),文献中描述的工艺参数,"['Fatigue strength', 'Fatigue life']",Surface stress concentration,文献采用L-PBF (L-PBF)制备AM Ti-6Al-4V,缺乏L-PBF (L-PBF)工艺参数→组织→疲劳性能的完整定量链,优化L-PBF (L-PBF)工艺参数可降低缺陷密度提升AM Ti-6Al-4V疲劳性能,B,Fatigue Failure from Inner Surfaces of Additive Manufactured Ti-6Al-4V Components
AM Ti-6Al-4V,heat_treatment,670°C for 5 h,670°C for 5 h,"['Fatigue strength', 'Fatigue life']",热处理(670°C for 5 h)改变α/β相比例和片层厚度，影响裂纹扩展路径,Surface roughness and geometry effects significantly reduce fatigue performance; Crack initiation occurs from internal surfaces due to defects; The Smith-Watson-Topper parameter is effective for fatig,缺乏AM Ti-6Al-4V不同热处理制度的疲劳性能系统对比数据,优化AM Ti-6Al-4V热处理制度可提升疲劳裂纹扩展抗力,B,Fatigue Failure from Inner Surfaces of Additive Manufactured Ti-6Al-4V Components
AM Ti-6Al-4V,loading_condition,LCF loading,文献中使用的载荷参数,"LCF下的['Fatigue strength', 'Fatigue life']",LCF条件下Surface stress concentration,文献研究AM Ti-6Al-4V的LCF行为,缺乏AM Ti-6Al-4V在LCF下的多因素耦合研究,AM Ti-6Al-4V在LCF条件下的寿命预测模型需考虑缺陷-组织耦合效应,B,Fatigue Failure from Inner Surfaces of Additive Manufactured Ti-6Al-4V Components
AM Ti-6Al-4V,microstructure,α′ martensite,文献中报告的组织特征参数,"['Fatigue strength', 'Fatigue life']受α′ martensite影响",α′ martensite影响裂纹萌生位置和扩展路径，决定疲劳抗力,Surface roughness and geometry effects significantly reduce fatigue performance; Crack initiation occurs from internal surfaces due to defects; The Smith-Watson-Topper parameter is effective for fatig,缺乏AM Ti-6Al-4V中α′ martensite与FCGR的定量关系,调控AM Ti-6Al-4V的α′ martensite可优化疲劳裂纹扩展抗力,B,Fatigue Failure from Inner Surfaces of Additive Manufactured Ti-6Al-4V Components
AM Ti-6Al-4V,temperature_environment,Room temperature,Room temperature,"Room temperature下['Fatigue strength', 'Fatigue life']",Room temperature环境影响Surface stress concentration,Surface roughness and geometry effects significantly reduce fatigue performance; Crack initiation occurs from internal surfaces due to defects; The Smith-Watson-Topper parameter is effective for fatig,缺乏AM Ti-6Al-4V在Room temperature下疲劳性能的系统数据,AM Ti-6Al-4V在Room temperature下的疲劳机制与室温不同需单独研究,B,Fatigue Failure from Inner Surfaces of Additive Manufactured Ti-6Al-4V Components
AM Ti-6Al-4V,model_parameter,Smith-Watson-Topper energy-based parameter,文献中使用的模型参数,疲劳寿命预测/裂纹扩展速率预测,Smith-Watson-Topper energy-based parameter用于建立变量与疲劳性能之间的定量关系,文献使用Smith-Watson-Topper energy-based parameter分析AM Ti-6Al-4V疲劳数据,缺乏Smith-Watson-Topper energy-based parameter在不同AM Ti-6Al-4V工艺条件下的泛化能力验证,融合物理机制的Smith-Watson-Topper energy-based parameter可提升AM Ti-6Al-4V疲劳寿命预测精度,B,Fatigue Failure from Inner Surfaces of Additive Manufactured Ti-6Al-4V Components
AM Ti-6Al-4V,testing_method,Defects such as unfused particles and lack of fusion zones,文献中观察到的起裂位置和机制,裂纹起裂受Defects such as unfused particles and lack of fusi控制,Defects such as unfused particles and lack of fusion zones,Surface roughness and geometry effects significantly reduce fatigue performance; Crack initiation occurs from internal surfaces due to defects; The Smith-Watson-Topper parameter is effective for fatig,缺乏裂纹起裂机制的定量判据和预测模型,AM Ti-6Al-4V的裂纹起裂机制在缺陷和组织特征之间存在竞争关系,B,Fatigue Failure from Inner Surfaces of Additive Manufactured Ti-6Al-4V Components
AM Ti-6Al-4V,defect,pore defect,文献中报告的孔隙尺寸和分布,Fatigue life,孔隙缺陷在循环载荷下引发局部应力集中，促进裂纹在孔隙边缘萌生,Fatigue properties of as-built EBM and stress relieved SLM specimens in the HCF and VHCF regimes are very similar.; Defect types and defect sizes of similar nature were observed in both conditions.; T,缺乏孔隙特征(尺寸/位置/形态)与疲劳寿命的定量关系数据,AM Ti-6Al-4V的孔隙特征参量可定量预测疲劳寿命,B,Fatigue life of additively manufactured Ti–6Al–4V in the very high cycle fatigue regime
AM Ti-6Al-4V,manufacturing_process,"L-PBF, Selective EBM",文献中描述的工艺参数,Fatigue life,制备工艺参数影响微观组织和缺陷特征，进而影响疲劳性能,"文献采用L-PBF, Selective EBM制备AM Ti-6Al-4V","缺乏L-PBF, Selective EBM工艺参数→组织→疲劳性能的完整定量链","优化L-PBF, Selective EBM工艺参数可降低缺陷密度提升AM Ti-6Al-4V疲劳性能",B,Fatigue life of additively manufactured Ti–6Al–4V in the very high cycle fatigue regime
AM Ti-6Al-4V,heat_treatment,"800°C heat treatment, Hot isostatic pressing","800°C heat treatment, Hot isostatic pressing",Fatigue life,"热处理(800°C heat treatment, Hot isostatic pressing)改变α/β相比例和片层厚度，影响裂纹扩展路径",Fatigue properties of as-built EBM and stress relieved SLM specimens in the HCF and VHCF regimes are very similar.; Defect types and defect sizes of similar nature were observed in both conditions.; T,缺乏AM Ti-6Al-4V不同热处理制度的疲劳性能系统对比数据,优化AM Ti-6Al-4V热处理制度可提升疲劳裂纹扩展抗力,B,Fatigue life of additively manufactured Ti–6Al–4V in the very high cycle fatigue regime
AM Ti-6Al-4V,loading_condition,HCF loading,文献中使用的载荷参数,HCF下的Fatigue life,HCF条件下裂纹萌生与扩展机制,文献研究AM Ti-6Al-4V的HCF行为,缺乏AM Ti-6Al-4V在HCF下的多因素耦合研究,AM Ti-6Al-4V在HCF条件下的寿命预测模型需考虑缺陷-组织耦合效应,B,Fatigue life of additively manufactured Ti–6Al–4V in the very high cycle fatigue regime
AM Ti-6Al-4V,loading_condition,VHCF loading,文献中使用的载荷参数,VHCF下的Fatigue life,VHCF条件下裂纹萌生与扩展机制,文献研究AM Ti-6Al-4V的VHCF行为,缺乏AM Ti-6Al-4V在VHCF下的多因素耦合研究,AM Ti-6Al-4V在VHCF条件下的寿命预测模型需考虑缺陷-组织耦合效应,B,Fatigue life of additively manufactured Ti–6Al–4V in the very high cycle fatigue regime
AM Ti-6Al-4V,manufacturing_process,Laser additive manufacturing,文献中描述的工艺参数,"fatigue life Nf, tensile strength, ultimate strength, elongation at break","no conventional fatigue limit, constant increase in fatigue life with decreasing loads",文献采用Laser additive manufacturing制备AM Ti-6Al-4V,缺乏Laser additive manufacturing工艺参数→组织→疲劳性能的完整定量链,优化Laser additive manufacturing工艺参数可降低缺陷密度提升AM Ti-6Al-4V疲劳性能,B,Fatigue Performance of laser additive manufactured Ti–6Al–4V in Very high cycle Fatigue regime up to 109 cycles
AM Ti-6Al-4V,heat_treatment,"stress relief at 650°C for 3 h in vacuum, hot-isostatic-pressing at 920°C and 10","stress relief at 650°C for 3 h in vacuum, hot-isostatic-pressing at 920°C and 10","fatigue life Nf, tensile strength, ultimate strength, elongation at break","热处理(stress relief at 650°C for 3 h in vacuum, hot-isos)改变α/β相比例和片层厚度，影响裂纹扩展路径",Laser additive manufactured Ti–6Al–4V shows fatigue properties comparable to conventionally manufactured materials.; Hot-isostatic-pressed specimens exhibit particularly good fatigue performance.; No ,缺乏AM Ti-6Al-4V不同热处理制度的疲劳性能系统对比数据,优化AM Ti-6Al-4V热处理制度可提升疲劳裂纹扩展抗力,B,Fatigue Performance of laser additive manufactured Ti–6Al–4V in Very high cycle Fatigue regime up to 109 cycles
AM Ti-6Al-4V,loading_condition,LCF loading,文献中使用的载荷参数,"LCF下的fatigue life Nf, tensile strength, ultimate strength, elongation at break","LCF条件下no conventional fatigue limit, constant increase in fatigue life with decreasing loads",文献研究AM Ti-6Al-4V的LCF行为,缺乏AM Ti-6Al-4V在LCF下的多因素耦合研究,AM Ti-6Al-4V在LCF条件下的寿命预测模型需考虑缺陷-组织耦合效应,B,Fatigue Performance of laser additive manufactured Ti–6Al–4V in Very high cycle Fatigue regime up to 109 cycles
AM Ti-6Al-4V,loading_condition,HCF loading,文献中使用的载荷参数,"HCF下的fatigue life Nf, tensile strength, ultimate strength, elongation at break","HCF条件下no conventional fatigue limit, constant increase in fatigue life with decreasing loads",文献研究AM Ti-6Al-4V的HCF行为,缺乏AM Ti-6Al-4V在HCF下的多因素耦合研究,AM Ti-6Al-4V在HCF条件下的寿命预测模型需考虑缺陷-组织耦合效应,B,Fatigue Performance of laser additive manufactured Ti–6Al–4V in Very high cycle Fatigue regime up to 109 cycles
AM Ti-6Al-4V,loading_condition,VHCF loading,文献中使用的载荷参数,"VHCF下的fatigue life Nf, tensile strength, ultimate strength, elongation at break","VHCF条件下no conventional fatigue limit, constant increase in fatigue life with decreasing loads",文献研究AM Ti-6Al-4V的VHCF行为,缺乏AM Ti-6Al-4V在VHCF下的多因素耦合研究,AM Ti-6Al-4V在VHCF条件下的寿命预测模型需考虑缺陷-组织耦合效应,B,Fatigue Performance of laser additive manufactured Ti–6Al–4V in Very high cycle Fatigue regime up to 109 cycles
AM Ti-6Al-4V,microstructure,"α′ martensite, lamellar α+β",文献中报告的组织特征参数,"fatigue life Nf, tensile strength, ultimate strength, elongation at break受α′ martensite, lamellar α+β影响","α′ martensite, lamellar α+β影响裂纹萌生位置和扩展路径，决定疲劳抗力",Laser additive manufactured Ti–6Al–4V shows fatigue properties comparable to conventionally manufactured materials.; Hot-isostatic-pressed specimens exhibit particularly good fatigue performance.; No ,"缺乏AM Ti-6Al-4V中α′ martensite, lamellar α+β与FCGR的定量关系","调控AM Ti-6Al-4V的α′ martensite, lamellar α+β可优化疲劳裂纹扩展抗力",B,Fatigue Performance of laser additive manufactured Ti–6Al–4V in Very high cycle Fatigue regime up to 109 cycles
AM Ti-6Al-4V,temperature_environment,room temperature,room temperature,"room temperature下fatigue life Nf, tensile strength, ultimate strength, elongation at break","room temperature环境影响no conventional fatigue limit, constant increase in fatigue life with decreasing loads",Laser additive manufactured Ti–6Al–4V shows fatigue properties comparable to conventionally manufactured materials.; Hot-isostatic-pressed specimens exhibit particularly good fatigue performance.; No ,缺乏AM Ti-6Al-4V在room temperature下疲劳性能的系统数据,AM Ti-6Al-4V在room temperature下的疲劳机制与室温不同需单独研究,B,Fatigue Performance of laser additive manufactured Ti–6Al–4V in Very high cycle Fatigue regime up to 109 cycles
AM Ti-6Al-4V,testing_method,surface and internal initiation,文献中观察到的起裂位置和机制,裂纹起裂受surface and internal initiation控制,surface and internal initiation,Laser additive manufactured Ti–6Al–4V shows fatigue properties comparable to conventionally manufactured materials.; Hot-isostatic-pressed specimens exhibit particularly good fatigue performance.; No ,缺乏裂纹起裂机制的定量判据和预测模型,AM Ti-6Al-4V的裂纹起裂机制在缺陷和组织特征之间存在竞争关系,B,Fatigue Performance of laser additive manufactured Ti–6Al–4V in Very high cycle Fatigue regime up to 109 cycles
AM Ti-6Al-4V,defect,pore defect,文献中报告的孔隙尺寸和分布,"['ΔKth', '疲劳寿命Nf']",孔隙缺陷在循环载荷下引发局部应力集中，促进裂纹在孔隙边缘萌生,热处理提高了ΔKth值，归因于β相含量和α板条厚度的增加。; 通过μ-CT和EBSD-KAM分析揭示了微结构对疲劳性能的影响。; 热处理后位错密度增加，影响了疲劳裂纹扩展行为。,缺乏孔隙特征(尺寸/位置/形态)与疲劳寿命的定量关系数据,AM Ti-6Al-4V的孔隙特征参量可定量预测疲劳寿命,B,Fatigue prediction through quantification of critical defects and crack growth behaviour in additively manufactured Ti-6Al-4V alloy
AM Ti-6Al-4V,manufacturing_process,L-PBF增材制造,文献中描述的工艺参数,"['ΔKth', '疲劳寿命Nf']",裂纹闭合效应,文献采用L-PBF增材制造制备AM Ti-6Al-4V,缺乏L-PBF增材制造工艺参数→组织→疲劳性能的完整定量链,优化L-PBF增材制造工艺参数可降低缺陷密度提升AM Ti-6Al-4V疲劳性能,B,Fatigue prediction through quantification of critical defects and crack growth behaviour in additively manufactured Ti-6Al-4V alloy
AM Ti-6Al-4V,loading_condition,FCGR loading,文献中使用的载荷参数,"FCGR下的['ΔKth', '疲劳寿命Nf']",FCGR条件下裂纹闭合效应,文献研究AM Ti-6Al-4V的FCGR行为,缺乏AM Ti-6Al-4V在FCGR下的多因素耦合研究,AM Ti-6Al-4V在FCGR条件下的寿命预测模型需考虑缺陷-组织耦合效应,B,Fatigue prediction through quantification of critical defects and crack growth behaviour in additively manufactured Ti-6Al-4V alloy
AM Ti-6Al-4V,microstructure,α′ martensite,文献中报告的组织特征参数,"['ΔKth', '疲劳寿命Nf']受α′ martensite影响",α′ martensite影响裂纹萌生位置和扩展路径，决定疲劳抗力,热处理提高了ΔKth值，归因于β相含量和α板条厚度的增加。; 通过μ-CT和EBSD-KAM分析揭示了微结构对疲劳性能的影响。; 热处理后位错密度增加，影响了疲劳裂纹扩展行为。,缺乏AM Ti-6Al-4V中α′ martensite与FCGR的定量关系,调控AM Ti-6Al-4V的α′ martensite可优化疲劳裂纹扩展抗力,B,Fatigue prediction through quantification of critical defects and crack growth behaviour in additively manufactured Ti-6Al-4V alloy
AM Ti-6Al-4V,model_parameter,NASGRO,文献中使用的模型参数,疲劳寿命预测/裂纹扩展速率预测,NASGRO用于建立变量与疲劳性能之间的定量关系,文献使用NASGRO分析AM Ti-6Al-4V疲劳数据,缺乏NASGRO在不同AM Ti-6Al-4V工艺条件下的泛化能力验证,融合物理机制的NASGRO可提升AM Ti-6Al-4V疲劳寿命预测精度,B,Fatigue prediction through quantification of critical defects and crack growth behaviour in additively manufactured Ti-6Al-4V alloy
AM Ti-6Al-4V,defect,pore defect,文献中报告的孔隙尺寸和分布,疲劳寿命/疲劳强度,孔隙缺陷在循环载荷下引发局部应力集中，促进裂纹在孔隙边缘萌生,Internal defects in L-PBF Ti-6Al-4V act as initiation sites for fatigue cracks.; Intrinsic defects significantly impact the fatigue life of L-PBF Ti-6Al-4V components.; Post-processing treatments such,缺乏孔隙特征(尺寸/位置/形态)与疲劳寿命的定量关系数据,AM Ti-6Al-4V的孔隙特征参量可定量预测疲劳寿命,B,High-Cycle Fatigue Performance of Laser Powder Bed Fusion Ti-6Al-4V Alloy with Inherent Internal Defects: A Critical Literature Review
AM Ti-6Al-4V,manufacturing_process,L-PBF,文献中描述的工艺参数,Internal defects in L-PBF Ti-6Al-4V act as initiation sites for fatigue cracks.; Intrinsic defects significantly impact the fatigue life of L-PBF Ti-6Al-4V components.; Post-processing treatments such,制备工艺参数影响微观组织和缺陷特征，进而影响疲劳性能,文献采用L-PBF制备AM Ti-6Al-4V,缺乏L-PBF工艺参数→组织→疲劳性能的完整定量链,优化L-PBF工艺参数可降低缺陷密度提升AM Ti-6Al-4V疲劳性能,B,High-Cycle Fatigue Performance of Laser Powder Bed Fusion Ti-6Al-4V Alloy with Inherent Internal Defects: A Critical Literature Review
AM Ti-6Al-4V,loading_condition,HCF loading,文献中使用的载荷参数,HCF下的疲劳行为,HCF条件下裂纹萌生与扩展机制,文献研究AM Ti-6Al-4V的HCF行为,缺乏AM Ti-6Al-4V在HCF下的多因素耦合研究,AM Ti-6Al-4V在HCF条件下的寿命预测模型需考虑缺陷-组织耦合效应,B,High-Cycle Fatigue Performance of Laser Powder Bed Fusion Ti-6Al-4V Alloy with Inherent Internal Defects: A Critical Literature Review
AM Ti-6Al-4V,manufacturing_process,L-PBF,文献中描述的工艺参数,fatigue life,制备工艺参数影响微观组织和缺陷特征，进而影响疲劳性能,文献采用L-PBF制备AM Ti-6Al-4V,缺乏L-PBF工艺参数→组织→疲劳性能的完整定量链,优化L-PBF工艺参数可降低缺陷密度提升AM Ti-6Al-4V疲劳性能,B,Hot Isostatic Pressing for Fatigue Critical Additively Manufactured Ti-6Al-4V
AM Ti-6Al-4V,defect,pore defect,文献中报告的孔隙尺寸和分布,"['Fatigue crack initiation sites', 'Crack growth rate']",孔隙缺陷在循环载荷下引发局部应力集中，促进裂纹在孔隙边缘萌生,Contour process parameters and build orientation significantly influence near-surface defects and fatigue crack initiation.; FEA-Net accurately predicts crack initiation sites based solely on pixel-fo,缺乏孔隙特征(尺寸/位置/形态)与疲劳寿命的定量关系数据,AM Ti-6Al-4V的孔隙特征参量可定量预测疲劳寿命,B,Image-based Study on Fatigue Crack Initiation Mechanism of Ti-6Al-4V Fabricated by Laser Powder Bed Fusion
AM Ti-6Al-4V,manufacturing_process,L-PBF (L-PBF),文献中描述的工艺参数,"['Fatigue crack initiation sites', 'Crack growth rate']",制备工艺参数影响微观组织和缺陷特征，进而影响疲劳性能,文献采用L-PBF (L-PBF)制备AM Ti-6Al-4V,缺乏L-PBF (L-PBF)工艺参数→组织→疲劳性能的完整定量链,优化L-PBF (L-PBF)工艺参数可降低缺陷密度提升AM Ti-6Al-4V疲劳性能,B,Image-based Study on Fatigue Crack Initiation Mechanism of Ti-6Al-4V Fabricated by Laser Powder Bed Fusion
AM Ti-6Al-4V,temperature_environment,Room temperature,Room temperature,"Room temperature下['Fatigue crack initiation sites', 'Crack growth rate']",Room temperature环境影响裂纹萌生与扩展机制,Contour process parameters and build orientation significantly influence near-surface defects and fatigue crack initiation.; FEA-Net accurately predicts crack initiation sites based solely on pixel-fo,缺乏AM Ti-6Al-4V在Room temperature下疲劳性能的系统数据,AM Ti-6Al-4V在Room temperature下的疲劳机制与室温不同需单独研究,B,Image-based Study on Fatigue Crack Initiation Mechanism of Ti-6Al-4V Fabricated by Laser Powder Bed Fusion
AM Ti-6Al-4V,model_parameter,FEA-Net,文献中使用的模型参数,疲劳寿命预测/裂纹扩展速率预测,FEA-Net用于建立变量与疲劳性能之间的定量关系,文献使用FEA-Net分析AM Ti-6Al-4V疲劳数据,缺乏FEA-Net在不同AM Ti-6Al-4V工艺条件下的泛化能力验证,融合物理机制的FEA-Net可提升AM Ti-6Al-4V疲劳寿命预测精度,B,Image-based Study on Fatigue Crack Initiation Mechanism of Ti-6Al-4V Fabricated by Laser Powder Bed Fusion
AM Ti-6Al-4V,testing_method,Near-surface pores or rough surface areas,文献中观察到的起裂位置和机制,裂纹起裂受Near-surface pores or rough surface areas控制,Near-surface pores or rough surface areas,Contour process parameters and build orientation significantly influence near-surface defects and fatigue crack initiation.; FEA-Net accurately predicts crack initiation sites based solely on pixel-fo,缺乏裂纹起裂机制的定量判据和预测模型,AM Ti-6Al-4V的裂纹起裂机制在缺陷和组织特征之间存在竞争关系,B,Image-based Study on Fatigue Crack Initiation Mechanism of Ti-6Al-4V Fabricated by Laser Powder Bed Fusion
AM Ti-6Al-4V,defect,pore defect,文献中报告的孔隙尺寸和分布,疲劳寿命Nf,孔隙缺陷在循环载荷下引发局部应力集中，促进裂纹在孔隙边缘萌生,表面粗糙度和孔隙特征对疲劳寿命有显著影响。; 通过改变扫描速度可以调节微孔结构。; 使用DONN模型可以准确预测疲劳寿命并估计预测不确定性。,缺乏孔隙特征(尺寸/位置/形态)与疲劳寿命的定量关系数据,AM Ti-6Al-4V的孔隙特征参量可定量预测疲劳寿命,B,Impact of surface and pore characteristics on fatigue life of laser powder bed fusion Ti–6Al–4V alloy described by neural network models
AM Ti-6Al-4V,surface_state,surface roughness,as-built表面粗糙度Ra值,疲劳寿命Nf/疲劳强度,表面粗糙度造成局部应力集中，成为裂纹优先萌生位置,表面粗糙度和孔隙特征对疲劳寿命有显著影响。; 通过改变扫描速度可以调节微孔结构。; 使用DONN模型可以准确预测疲劳寿命并估计预测不确定性。,缺乏表面粗糙度特征(峰谷参数/应力集中系数)与疲劳寿命的定量模型,AM Ti-6Al-4V表面粗糙度的临界值下疲劳寿命无明显降低,B,Impact of surface and pore characteristics on fatigue life of laser powder bed fusion Ti–6Al–4V alloy described by neural network models
AM Ti-6Al-4V,manufacturing_process,L-PBF增材制造,文献中描述的工艺参数,疲劳寿命Nf,制备工艺参数影响微观组织和缺陷特征，进而影响疲劳性能,文献采用L-PBF增材制造制备AM Ti-6Al-4V,缺乏L-PBF增材制造工艺参数→组织→疲劳性能的完整定量链,优化L-PBF增材制造工艺参数可降低缺陷密度提升AM Ti-6Al-4V疲劳性能,B,Impact of surface and pore characteristics on fatigue life of laser powder bed fusion Ti–6Al–4V alloy described by neural network models
AM Ti-6Al-4V,heat_treatment,650°C for 2 hours,650°C for 2 hours,疲劳寿命Nf,热处理(650°C for 2 hours)改变α/β相比例和片层厚度，影响裂纹扩展路径,表面粗糙度和孔隙特征对疲劳寿命有显著影响。; 通过改变扫描速度可以调节微孔结构。; 使用DONN模型可以准确预测疲劳寿命并估计预测不确定性。,缺乏AM Ti-6Al-4V不同热处理制度的疲劳性能系统对比数据,优化AM Ti-6Al-4V热处理制度可提升疲劳裂纹扩展抗力,B,Impact of surface and pore characteristics on fatigue life of laser powder bed fusion Ti–6Al–4V alloy described by neural network models
AM Ti-6Al-4V,model_parameter,Drop-out神经网络模型,文献中使用的模型参数,疲劳寿命预测/裂纹扩展速率预测,Drop-out神经网络模型用于建立变量与疲劳性能之间的定量关系,文献使用Drop-out神经网络模型分析AM Ti-6Al-4V疲劳数据,缺乏Drop-out神经网络模型在不同AM Ti-6Al-4V工艺条件下的泛化能力验证,融合物理机制的Drop-out神经网络模型可提升AM Ti-6Al-4V疲劳寿命预测精度,B,Impact of surface and pore characteristics on fatigue life of laser powder bed fusion Ti–6Al–4V alloy described by neural network models
AM Ti-6Al-4V,defect,pore defect,文献中报告的孔隙尺寸和分布,['Fatigue life'],孔隙缺陷在循环载荷下引发局部应力集中，促进裂纹在孔隙边缘萌生,Surface roughness and pore characteristics significantly affect the fatigue life of LPBF Ti-6Al-4V parts.; The DONN model demonstrates good prediction accuracy for fatigue life and can estimate predic,缺乏孔隙特征(尺寸/位置/形态)与疲劳寿命的定量关系数据,AM Ti-6Al-4V的孔隙特征参量可定量预测疲劳寿命,B,Impact of Surface and Pore Characteristics on Fatigue Life of Laser Powder Bed Fusion Ti-6Al-4V Alloy Described by Neural Network Models
AM Ti-6Al-4V,surface_state,surface roughness,as-built表面粗糙度Ra值,疲劳寿命Nf/疲劳强度,表面粗糙度造成局部应力集中，成为裂纹优先萌生位置,Surface roughness and pore characteristics significantly affect the fatigue life of LPBF Ti-6Al-4V parts.; The DONN model demonstrates good prediction accuracy for fatigue life and can estimate predic,缺乏表面粗糙度特征(峰谷参数/应力集中系数)与疲劳寿命的定量模型,AM Ti-6Al-4V表面粗糙度的临界值下疲劳寿命无明显降低,B,Impact of Surface and Pore Characteristics on Fatigue Life of Laser Powder Bed Fusion Ti-6Al-4V Alloy Described by Neural Network Models
AM Ti-6Al-4V,manufacturing_process,L-PBF,文献中描述的工艺参数,['Fatigue life'],制备工艺参数影响微观组织和缺陷特征，进而影响疲劳性能,文献采用L-PBF制备AM Ti-6Al-4V,缺乏L-PBF工艺参数→组织→疲劳性能的完整定量链,优化L-PBF工艺参数可降低缺陷密度提升AM Ti-6Al-4V疲劳性能,B,Impact of Surface and Pore Characteristics on Fatigue Life of Laser Powder Bed Fusion Ti-6Al-4V Alloy Described by Neural Network Models
AM Ti-6Al-4V,heat_treatment,650°C for 2 hours,650°C for 2 hours,['Fatigue life'],热处理(650°C for 2 hours)改变α/β相比例和片层厚度，影响裂纹扩展路径,Surface roughness and pore characteristics significantly affect the fatigue life of LPBF Ti-6Al-4V parts.; The DONN model demonstrates good prediction accuracy for fatigue life and can estimate predic,缺乏AM Ti-6Al-4V不同热处理制度的疲劳性能系统对比数据,优化AM Ti-6Al-4V热处理制度可提升疲劳裂纹扩展抗力,B,Impact of Surface and Pore Characteristics on Fatigue Life of Laser Powder Bed Fusion Ti-6Al-4V Alloy Described by Neural Network Models
AM Ti-6Al-4V,model_parameter,Drop-out neural network (DONN),文献中使用的模型参数,疲劳寿命预测/裂纹扩展速率预测,Drop-out neural network (DONN)用于建立变量与疲劳性能之间的定量关系,文献使用Drop-out neural network (DONN)分析AM Ti-6Al-4V疲劳数据,缺乏Drop-out neural network (DONN)在不同AM Ti-6Al-4V工艺条件下的泛化能力验证,融合物理机制的Drop-out neural network (DONN)可提升AM Ti-6Al-4V疲劳寿命预测精度,B,Impact of Surface and Pore Characteristics on Fatigue Life of Laser Powder Bed Fusion Ti-6Al-4V Alloy Described by Neural Network Models
Ti-6Al-4V,manufacturing_process,pre-torsion,文献中描述的工艺参数,"['S-N curve', 'fatigue strength']",制备工艺参数影响微观组织和缺陷特征，进而影响疲劳性能,文献采用pre-torsion制备Ti-6Al-4V,缺乏pre-torsion工艺参数→组织→疲劳性能的完整定量链,优化pre-torsion工艺参数可降低缺陷密度提升Ti-6Al-4V疲劳性能,B,Internal crack characteristics in very-high-cycle fatigue of a gradient structured titanium alloy
Ti-6Al-4V,loading_condition,HCF loading,文献中使用的载荷参数,"HCF下的['S-N curve', 'fatigue strength']",HCF条件下裂纹萌生与扩展机制,文献研究Ti-6Al-4V的HCF行为,缺乏Ti-6Al-4V在HCF下的多因素耦合研究,Ti-6Al-4V在HCF条件下的寿命预测模型需考虑缺陷-组织耦合效应,B,Internal crack characteristics in very-high-cycle fatigue of a gradient structured titanium alloy
Ti-6Al-4V,loading_condition,VHCF loading,文献中使用的载荷参数,"VHCF下的['S-N curve', 'fatigue strength']",VHCF条件下裂纹萌生与扩展机制,文献研究Ti-6Al-4V的VHCF行为,缺乏Ti-6Al-4V在VHCF下的多因素耦合研究,Ti-6Al-4V在VHCF条件下的寿命预测模型需考虑缺陷-组织耦合效应,B,Internal crack characteristics in very-high-cycle fatigue of a gradient structured titanium alloy
